service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CALEND-826-Κυριακή-04,0,0,0,0,0,0,1,20161204,20170625
CALEND-826-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-827-828-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-827-828-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-827-828-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-829-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-829-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-830-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-830-Κυριακή-04,0,0,0,0,0,0,1,20161204,20170625
CALEND-830-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-831-Καθημερινή-04,1,1,1,1,1,0,0,20161201,20170630
CALEND-831-Κυριακή-04,0,0,0,0,0,0,1,20161204,20170625
CALEND-831-Σάββατο-03,0,0,0,0,0,1,0,20161203,20170701
CALEND-832-833-Καθημερινή-04,1,1,1,1,1,0,0,20161201,20170630
